Nr,Beach,Year,Observer,LivePups,timeObs,Coastline
1,MM046W,2007,1,124,1,NORTH
1,MM046W,2007,1,124,1,NORTH
1,MM046W,2007,1,126,1,NORTH
2,MM047,2007,1,120,1,NORTH
2,MM047,2007,1,135,1,NORTH
2,MM047,2007,1,144,1,NORTH
3,MM051,2007,1,155,1,NORTH-EAST
3,MM051,2007,1,135,1,NORTH-EAST
3,MM051,2007,1,147,1,NORTH-EAST
4,MM052,2007,1,91,1,NORTH-EAST
6,MM065E,2007,1,95,1,EAST
5,MM065W,2007,1,155,1,EAST
5,MM065W,2007,1,153,1,EAST
7,MM066,2007,1,102,1,EAST
8,MM067,2007,1,53,1,EAST
9,MM068,2007,1,58,1,EAST
1,MM046W,2008,2,128,2,NORTH
1,MM046W,2008,2,119,2,NORTH
1,MM046W,2008,2,121,2,NORTH
2,MM047,2008,2,132,2,NORTH
2,MM047,2008,2,123,2,NORTH
2,MM047,2008,2,133,2,NORTH
3,MM051,2008,2,144,2,NORTH-EAST
4,MM052,2008,2,79,2,NORTH-EAST
6,MM065E,2008,2,80,2,EAST
5,MM065W,2008,2,159,2,EAST
5,MM065W,2008,2,162,2,EAST
7,MM066,2008,2,83,2,EAST
8,MM067,2008,2,69,2,EAST
9,MM068,2008,2,62,2,EAST
2,MM047,2009,3,96,3,NORTH
2,MM047,2009,3,77,3,NORTH
2,MM047,2009,3,95,3,NORTH
3,MM051,2009,3,72,3,NORTH-EAST
4,MM052,2009,3,85,3,NORTH-EAST
6,MM065E,2009,3,60,3,EAST
5,MM065W,2009,3,136,3,EAST
5,MM065W,2009,3,140,3,EAST
7,MM066,2009,3,92,3,EAST
8,MM067,2009,3,85,3,EAST
9,MM068,2009,3,56,3,EAST
1,MM046W,2010,4,100,4,NORTH
1,MM046W,2010,4,97,4,NORTH
1,MM046W,2010,4,96,4,NORTH
2,MM047,2010,4,122,4,NORTH
3,MM051,2010,4,126,4,NORTH-EAST
3,MM051,2010,4,126,4,NORTH-EAST
4,MM052,2010,4,98,4,NORTH-EAST
6,MM065E,2010,4,56,4,EAST
6,MM065E,2010,4,58,4,EAST
5,MM065W,2010,4,123,4,EAST
5,MM065W,2010,4,115,4,EAST
7,MM066,2010,4,128,4,EAST
8,MM067,2010,4,43,4,EAST
9,MM068,2010,4,47,4,EAST
1,MM046W,2011,2,69,5,NORTH
1,MM046W,2011,2,57,5,NORTH
1,MM046W,2011,2,54,5,NORTH
1,MM046W,2011,2,63,5,NORTH
2,MM047,2011,2,88,5,NORTH
2,MM047,2011,2,89,5,NORTH
2,MM047,2011,2,100,5,NORTH
2,MM047,2011,2,96,5,NORTH
3,MM051,2011,2,94,5,NORTH-EAST
4,MM052,2011,2,70,5,NORTH-EAST
6,MM065E,2011,2,58,5,EAST
6,MM065E,2011,2,57,5,EAST
5,MM065W,2011,2,105,5,EAST
5,MM065W,2011,2,109,5,EAST
7,MM066,2011,2,92,5,EAST
8,MM067,2011,2,53,5,EAST
9,MM068,2011,2,41,5,EAST
1,MM046W,2012,2,42,6,NORTH
1,MM046W,2012,2,50,6,NORTH
1,MM046W,2012,2,50,6,NORTH
2,MM047,2012,2,105,6,NORTH
2,MM047,2012,2,101,6,NORTH
2,MM047,2012,2,110,6,NORTH
3,MM051,2012,2,102,6,NORTH-EAST
4,MM052,2012,2,46,6,NORTH-EAST
6,MM065E,2012,2,68,6,EAST
6,MM065E,2012,2,65,6,EAST
5,MM065W,2012,2,99,6,EAST
5,MM065W,2012,2,97,6,EAST
7,MM066,2012,2,118,6,EAST
8,MM067,2012,2,49,6,EAST
9,MM068,2012,2,43,6,EAST
1,MM046W,2013,4,56,7,NORTH
1,MM046W,2013,4,56,7,NORTH
1,MM046W,2013,4,58,7,NORTH
2,MM047,2013,4,92,7,NORTH
2,MM047,2013,4,95,7,NORTH
2,MM047,2013,4,94,7,NORTH
3,MM051,2013,4,64,7,NORTH-EAST
4,MM052,2013,4,53,7,NORTH-EAST
6,MM065E,2013,4,48,7,EAST
5,MM065W,2013,4,104,7,EAST
7,MM066,2013,4,84,7,EAST
7,MM066,2013,4,87,7,EAST
