"Sol";"Site";"Profondeur";"pH";"Eau";"Av.P";"C";"N";"NO3";"NH4";"Exc.Ac";"Exc.Al";"Exc.Ca";"Exc.Mg";"Exc.K";"Exc.Na";"Exc.Cations";"SatBase";"Argile";"Limon";"Sable"
"Grès";"292-23_I";"Superficiel";4.72;3.49;4.28;1.26;0.11;0;6.71;4.97;4.07;0.15;0.25;0.24;0.07;5.68;12.5;27;10;63
"Alluvial";"292-11_A";"Superficiel";4.56;2.76;7.02;0.91;0.12;10.13;2.43;3.96;3.6;0.32;0.18;0.21;0.06;4.73;16.36;27;19;54
"Alluvial";"292-11_A";"Profond";4.91;3.39;1.75;0.3;0.06;1.84;2.17;5.8;5.33;0.15;0.2;0.15;0.05;6.35;8.69;31;16;52
"Alluvial";"292-11_A";"Intermediaire";4.6;2.84;4.67;0.58;0.09;4.87;2.52;5.09;4.63;0.17;0.21;0.15;0.05;5.68;10.29;27;19;54
"Alluvial";"292-11_B";"Superficiel";4.67;3.39;4.54;0.96;0.14;1.84;3.39;4.14;3.83;0.91;0.87;0.16;0.06;6.14;32.53;33;24;43
"Alluvial";"292-11_B";"Profond";4.81;4.28;0.7;0.38;0.08;6.51;0.66;8.25;7.65;0.2;1.2;0.17;0.06;9.89;16.53;43;26;31
"Alluvial";"292-11_B";"Intermediaire";4.63;3.77;1.84;0.61;0.1;10.83;0.75;6.23;5.72;0.33;0.86;0.12;0.06;7.61;18.06;33;24;43
"Alluvial";"292-11_H";"Superficiel";4.84;4.12;4.2;0.96;0.12;2.95;3.21;5.48;4.95;1.42;1.79;0.22;0.07;8.98;39.02;37;32;31
"Alluvial";"292-11_H";"Profond";4.57;4.98;0.88;0.47;0.08;7.33;2;7.84;7.68;0.3;1.98;0.16;0.06;10.35;24.21;45;25;30
"Alluvial";"292-11_H";"Intermediaire";4.74;4.58;2.39;0.67;0.11;9.27;2.16;6.92;6.44;0.67;1.49;0.17;0.07;9.31;25.74;37;32;31
"Alluvial";"292-11_M";"Superficiel";4.57;3.9;6.82;1.25;0.15;11.58;13.39;5.05;4.63;0.87;1.61;0.19;0.08;7.79;35.2;37;24;39
"Alluvial";"292-11_M";"Profond";4.86;4.51;2.16;0.52;0.08;3.46;3.99;8.43;7.75;0.11;1.09;0.15;0.08;9.86;14.53;42;29;30
"Alluvial";"292-11_M";"Intermediaire";4.66;4.34;2.85;0.67;0.09;6.32;3.61;7.21;6.64;0.21;0.92;0.14;0.07;8.55;15.63;37;24;39
"Alluvial";"292-11_N";"Superficiel";4.67;4.41;3.22;0.94;0.13;9.85;1.3;7.17;6.49;0.69;1.6;0.22;0.06;9.74;26.4;46;25;29
"Alluvial";"292-11_N";"Profond";4.88;5.58;0.79;0.42;0.1;3.85;2.7;8.58;7.92;0.5;2.82;0.19;0.07;12.16;29.45;53;22;25
"Alluvial";"292-11_N";"Intermediaire";3.98;4.57;2.26;0.79;0.11;7.62;1.61;7.65;6.92;0.43;1.56;0.2;0.07;9.91;22.81;46;25;29
"Alluvial";"292-11_O";"Superficiel";4.69;3.95;8.2;1.64;0.18;16.79;1.29;3.64;3.28;1.19;2.21;0.42;0.05;7.51;51.46;37;23;40
"Alluvial";"292-11_O";"Profond";4.84;5.47;0.38;0.39;0.1;2.2;1.43;8.83;7.99;0.13;1.92;0.16;0.07;11.12;20.56;50;27;23
"Alluvial";"292-11_O";"Intermediaire";4.69;4.83;2.01;0.65;0.11;6.83;0.51;5.99;5.54;0.22;1.87;0.16;0.05;8.28;27.71;37;23;40
"Alluvial";"292-11_R";"Superficiel";5.05;5.13;7.66;2.09;0.25;15.63;10.26;1.21;0.98;6.7;5;0.56;0.07;13.54;91.05;47;37;15
"Alluvial";"292-11_R";"Profond";4.17;5.8;1;0.54;0.11;2.88;2.71;8.65;8.17;0.35;5.33;0.45;0.08;14.87;41.82;53;32;15
"Alluvial";"292-11_R";"Intermediaire";4.34;5.1;2.51;0.86;0.13;5.46;3.13;7.01;6.48;0.92;3.64;0.41;0.07;12.04;41.8;47;37;15
"Alluvial";"292-12_M";"Superficiel";3.99;5.04;9.06;2.88;0.25;22.51;7.61;4.32;4.16;1.57;2.2;0.27;0.06;8.41;48.67;36;38;26
"Alluvial";"292-12_M";"Profond";4.79;4.37;0.92;0.41;0.06;3.5;1.7;6.33;5.96;0.16;1.73;0.13;0.05;8.39;24.58;40;29;31
"Alluvial";"292-12_M";"Intermediaire";4.54;4.48;2.42;0.76;0.11;9.61;1.8;5.81;5.34;0.23;1.79;0.16;0.05;8.03;27.67;36;38;26
"Alluvial";"292-12_P";"Superficiel";4.43;4.05;14.84;2.15;0.21;21.89;13.01;4.22;3.65;0.58;1.44;0.37;0.08;6.7;37.01;28;33;38
"Alluvial";"292-12_P";"Profond";4.99;3.06;0.76;0.23;0.05;1.43;1.28;5.21;4.49;0.03;0.31;0.07;0.06;5.68;8.22;31;30;39
"Alluvial";"292-12_P";"Intermediaire";4.53;3.41;2.66;0.68;0.1;6.65;1.65;5.15;4.66;0.07;0.23;0.14;0.04;5.64;8.7;28;33;38
"Alluvial";"292-12_T";"Superficiel";4.33;5.21;9.94;2.54;0.26;23.6;2.28;4.04;3.32;3.5;2.03;0.51;0.07;10.14;60.21;49;28;23
"Alluvial";"292-12_T";"Profond";4.7;5.68;1.13;0.44;0.09;3.01;2.31;9.25;9.01;0.34;2.58;0.19;0.05;12.42;25.5;47;34;20
"Alluvial";"292-12_T";"Intermediaire";4.53;5.47;2.56;0.83;0.14;7.81;0.76;7.3;6.45;1.9;1.64;0.2;0.06;11.09;34.19;49;28;23
"Alluvial";"292-12_U";"Superficiel";4.35;3.07;13.84;1.64;0.18;9.05;5.65;2.97;2.37;1.05;0.22;0.14;0.03;4.4;32.55;18;12;70
"Alluvial";"292-12_U";"Profond";4.85;1.76;0.91;0.19;0.04;4.86;1.81;2.9;2.65;0.08;0.16;0.06;0.04;3.24;10.47;18;13;69
"Alluvial";"292-12_U";"Intermediaire";4.71;1.95;3.86;0.42;0.07;1.27;3.38;2.65;2.29;0.26;0.09;0.07;0.03;3.1;14.53;18;12;70
"Alluvial";"292-12_W";"Superficiel";4.33;6.57;8.27;2.55;0.28;15.86;2.35;8.13;7.28;1.41;2.18;0.42;0.07;12.22;33.42;47;33;20
"Alluvial";"292-12_W";"Profond";4.46;5.82;1.31;0.76;0.13;3.16;3.94;10.57;9.72;0.17;1.92;0.27;0.07;12.98;18.61;52;31;16
"Alluvial";"292-12_W";"Intermediaire";4.57;5.85;3.33;1.03;0.16;7.11;1.39;9.08;8.18;0.27;1.59;0.25;0.08;11.27;19.45;47;33;20
"Alluvial";"292-12_Y";"Superficiel";4.25;3.99;11.78;1.59;0.17;13.83;1.38;5.29;4.74;0.27;1.1;0.41;0.06;7.13;25.87;38;26;36
"Alluvial";"292-12_Y";"Profond";4.72;3.54;1.03;0.33;0.06;2.83;3;6.63;6.12;0.06;0.26;0.12;0.05;7.12;6.88;34;29;37
"Alluvial";"292-12_Y";"Intermediaire";4.38;4.11;3.22;0.75;0.12;6.72;1.5;7.2;6.31;0.06;0.36;0.16;0.04;7.83;8.07;38;26;36
"Alluvial";"292-13_K";"Superficiel";4.32;3.68;6.67;1.65;0.19;11.59;4.44;5.04;4.36;0.89;0.3;0.17;0.03;6.44;21.79;35;32;34
