"country","life_expectancy","hdi","per_capita_gdp","region","income_group","pop","total_prod","total_cons","biocapacity","number_of_countries_required","number_of_earths_required","overshoot_day"
"Albania",78.458,0.792,5046.03261108447,"Other Europe","UM",2.88273999023438,1.42111383275061,1.88645802312157,1.00736055674979,1.90034340445686,1.19198136013427,306
"Algeria",76.693,0.746,4759.83005364244,"Africa","UM",42.2283984375,1.68418168991186,2.34090871533432,1.75695535349843,4.11287209945776,1.47913153659108,246
"Antigua and Barbuda",76.885,0.772,15134.9100896097,"Central America/Caribbean","HI",0.096286003112793,1.91037279893994,4.65509241986169,1.16753035984643,5.43496172807949,2.94137655127664,124
"Argentina",76.52,0.842,10076.3954062373,"South America","UM",44.3611015625,5.07607958722639,3.31174609785516,0.161821300116413,0.535911059210378,2.09256690038014,174
"Armenia",74.945,0.771,4406.74176336072,"Middle East/Central Asia","LM",2.95175,1.25129321611811,1.90039211653785,1.62306977849716,3.08446901164684,1.20078578589885,303
"Australia",82.7488,0.943,57032.2370515312,"Asia-Pacific","HI",24.89819921875,10.8466841354672,7.08603895065639,0.0871710823367697,0.617697684809226,4.47739957255519,81
"Austria",81.6927,0.921,49711.0145293963,"EU","HI",8.89138964843749,4.61947518843573,6.0644595526287,0.373735926959588,2.26650641241062,3.83190225142677,95
"Azerbaijan",72.864,0.754,5795.02165664263,"Middle East/Central Asia","UM",9.94954003906248,1.79671483266379,2.06007477762662,1.27038756923335,2.61709338918801,1.3016832101837,280
"Bahamas",73.752,0.812,28845.5210214368,"Central America/Caribbean","HI",0.385636993408203,1.92310528995575,4.28452598409871,0.10898726778193,0.466958780747603,2.70722965868374,134
"Bahrain",77.163,0.852,21477.9706577012,"Middle East/Central Asia","HI",1.56944995117187,7.29161109431885,8.17288810574474,2.14933626665227,17.5662848089681,5.16413838055649,70
"Barbados",79.081,0.81,16136.9104274278,"Central America/Caribbean","HI",0.286640991210937,1.90415041576049,3.96965506871852,5.37154688931476,21.3231883360275,2.50827465550771,145
"Belarus",74.1756,0.823,6607.80812363635,"Other Europe","UM",9.45262011718751,5.10272815256479,4.4029788498252,0.349970588484146,1.54091309915657,2.78207553718721,131
"Belgium",81.5951,0.93,46768.0401722337,"EU","HI",11.4822001953124,3.65674814536017,6.86563365481813,1.31250695529089,9.01119192442803,4.33813381572729,84
"Belize",74.496,0.714,4217.20761752806,"Central America/Caribbean","UM",0.383071014404296,6.4821054704461,7.87246021937444,0.284586937244091,2.24039934240772,4.97430938026664,73
"Bhutan",71.46,0.649,3128.85411548466,"Asia-Pacific","LM",0.754388000488281,4.27003716285413,5.15876963843102,0.200905872985617,1.03642711774068,3.25963110489001,111
"Bolivia",71.239,0.714,2559.52127611075,"South America","LM",11.353099609375,3.18995016961059,3.108502042975,0.0701970441303957,0.218207655090141,1.9641446815945,185
"Bosnia and Herzegovina",77.262,0.777,6096.90950675284,"Other Europe","UM",3.32392993164062,3.91151732558748,3.89223293778533,0.500172076396626,1.94678623031143,2.45935454395308,148
"Botswana",69.275,0.73,8032.89137022214,"Africa","UM",2.25407006835937,1.88333069741829,2.36925585659503,0.30282298454733,0.717465129650349,1.49704302127916,243
"Brazil",75.672,0.762,11075.6245554235,"South America","UM",209.469,3.63403939956588,2.58795918509511,0.116152645981823,0.30059830704176,1.63523336942168,223
"Brunei Darussalam",75.722,0.836,31436.7430312189,"Asia-Pacific","HI",0.428963012695312,6.2106767269546,5.41536894772703,0.36869690165288,1.99662975233417,3.4217664876843,106
"Bulgaria",74.9634,0.813,8642.04077955657,"EU","UM",7.05160986328126,4.59188889824195,3.62106987906888,0.305222130821593,1.10523066434329,2.28801687961843,159
"Canada",82.0488,0.928,51517.7485260399,"North America","HI",37.0746015625,11.7241985443055,8.06504970635452,0.0678582019822076,0.547279771970349,5.09599938122315,71
"Chile",80.042,0.849,15110.09609619,"South America","UM",18.72919921875,4.75371386932725,4.2932063437119,0.299775950106116,1.28700001068784,2.71271444908531,134
"China",76.704,0.755,7468.9251599995,"Asia-Pacific","UM",1459.37999999999,3.45243319283268,3.79673334803674,1.08295730924964,4.11170013052825,2.39901197100124,152
"Colombia",77.109,0.764,7692.15279595662,"South America","UM",49.6609999999998,1.55137374896817,1.85662795631671,0.290774869278275,0.539860751296383,1.17313287097249,311
"Costa Rica",80.095,0.808,9936.59301486209,"Central America/Caribbean","UM",4.99943994140626,1.7590722821037,2.44624710569229,0.665573191931937,1.62815649438988,1.54569087492476,236
"Croatia",78.0707,0.848,15707.7041511779,"Other Europe","HI",4.15639990234374,3.0699675554507,3.88086457270814,0.353045962656351,1.37012356901067,2.45217130472849,148
"Cyprus",80.828,0.885,23394.9393687452,"EU","HI",1.18927001953125,2.0992040652454,3.85016788334156,4.85823204583377,18.70500899269,2.43277522960022,150
"Czech Republic",79.0293,0.898,23720.8992721539,"EU","HI",10.6657001953125,5.94310455797916,5.71763294449601,0.429327320897939,2.45473603393827,3.61275565657772,101
"Denmark",80.9537,0.939,64671.6968459883,"EU","HI",5.7521298828125,4.39489161645514,6.65338735373052,0.276373407391894,1.83881933364864,4.20402341859519,86
"Djibouti",66.582,0.518,NA,"Africa","LM",0.958922973632809,0.907752246382297,2.43838824586951,1.40043176645643,3.41479635846963,1.54072515911988,236
"Dominica",NA,0.738,6696.54450261782,"Central America/Caribbean","UM",0.0716249999999998,1.31845819580782,2.45839865678177,0.876673639796381,2.15521329851141,1.55336897972108,234
"El Salvador",73.096,0.67,3507.05135692871,"Central America/Caribbean","LM",6.42075,1.22131608150367,2.02803597491008,1.69772646054993,3.44305033755202,1.28143910447286,284
"Equatorial Guinea",58.402,0.582,10134.6862776952,"Africa","HI",1.30896997070312,2.4722573738001,2.02174458093,0.297940104515185,0.602358791745292,1.27746381095368,285
