Etude d’une potentielle sélection génétique sur les capacités de dispersion du frêne,,,,,,,,,,
Données partielles,,,,,,,,,,
Source : perdue ,,,,,,,,,,
Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
1,Grenou_1,0,1,16.8,0.83907,0.45758,2.46212,57,0.049944642857143,-2.99684002974653
1,Grenou_1,0,1,25.4,0.80864,0.43251,2.47986,57,0.031836220472441,-3.4471506288068
1,Grenou_1,0,1,21.7,0.77436,0.44081,2.35872,57,0.035684792626728,-3.3330306577928
1,Grenou_1,0,1,14.9,0.86005,0.45292,2.63522,57,0.057721476510067,-2.85212596484115
1,Grenou_1,0,1,21,0.81353,0.46885,2.41978,57,0.038739523809524,-3.25089491303743
1,Grenou_1,0,1,20.1,0.82752,0.46522,2.40977,57,0.041170149253731,-3.19004181790373
1,Grenou_1,0,1,26.8,0.98631,0.48447,2.68182,57,0.036802611940299,-3.30218645968743
1,Grenou_1,0,1,21.4,0.87054,0.45428,2.71523,57,0.040679439252337,-3.20203249225429
1,Grenou_1,0,1,18.9,0.83487,0.42868,2.7107,57,0.044173015873016,-3.11964117694036
1,Grenou_1,0,1,18.4,0.82752,0.46932,2.45099,57,0.044973913043478,-3.10167266745364
1,Grenou_1,0,1,28.8,0.94154,0.45511,2.73461,57,0.032692361111111,-3.42061383353366
1,Grenou_1,0,1,16.1,0.70371,0.42629,2.2436,57,0.043708695652174,-3.13020821149991
1,Grenou_1,0,1,20.8,0.62886,0.3829,2.17674,57,0.030233653846154,-3.49879960927927
1,Grenou_1,0,1,20,0.79045,0.46886,2.29478,57,0.0395225,-3.23088514899393
1,Grenou_1,0,1,20.3,0.77646,0.45967,2.29632,57,0.038249261083744,-3.26363103696824
1,Grenou_1,0,1,25,0.99016,0.49116,2.70674,57,0.0396064,-3.22876455761857
1,Grenou_1,0,1,20.4,0.83942,0.45899,2.50685,57,0.041148039215686,-3.1905790026739
1,Grenou_1,0,1,21.2,0.8674,0.46531,2.50744,57,0.040915094339623,-3.19625622925884
1,Grenou_1,0,1,23,0.98491,0.51135,2.53907,57,0.042822173913044,-3.15069922847212
1,Grenou_1,0,1,25.7,1.0031,0.50016,2.70381,57,0.039031128404669,-3.24339578699387
1,Grenou_1,0,2,21.4,0.77503,0.44288,2.48582,29,0.036216355140187,-3.31824446272838
1,Grenou_1,0,2,14.8,1.02083,0.50261,2.63614,29,0.068975,-2.67401115887879
1,Grenou_1,0,2,17.7,0.88053,0.43064,2.68025,29,0.049747457627119,-3.00079591965583
1,Grenou_1,0,2,23.6,0.91178,0.46192,2.62819,29,0.038634745762712,-3.25360325810972
1,Grenou_1,0,2,20.3,0.9164,0.45859,2.6605,29,0.045142857142857,-3.09792321445054
1,Grenou_1,0,2,23.5,0.71181,0.40282,2.31426,29,0.030289787234043,-3.4969446782647
1,Grenou_1,0,2,17.4,0.92102,0.46633,2.51428,29,0.052932183908046,-2.93874373365649
1,Grenou_1,0,2,24.3,0.83542,0.4592,2.43945,29,0.034379423868313,-3.37029703692489
1,Grenou_1,0,2,23.9,0.85211,0.43779,2.57969,29,0.035653138075314,-3.33391811144278
1,Grenou_1,0,2,27.4,0.85424,0.4629,2.40718,29,0.031176642335767,-3.46808610762429
1,Grenou_1,0,2,27.2,0.88337,0.42476,2.60693,29,0.032476838235294,-3.42722811339946
1,Grenou_1,0,2,16.8,0.75017,0.42294,2.40266,29,0.044652976190476,-3.10883431787934
1,Grenou_1,0,2,17.9,0.8379,0.41189,2.66423,29,0.046810055865922,-3.06165723020961
1,Grenou_1,0,2,18.8,0.75798,0.38613,2.48915,29,0.040318085106383,-3.21095514874804
1,Grenou_1,0,2,23.1,0.77503,0.42415,2.47769,29,0.033551082251082,-3.39468615822832
1,Grenou_1,0,2,20.2,0.63189,0.36126,2.17079,29,0.031281683168317,-3.46472255502392
1,Grenou_1,0,2,15,0.89438,0.43637,2.64072,29,0.059625333333333,-2.8196747392931
1,Grenou_1,0,2,20.4,0.76473,0.41012,2.51127,29,0.037486764705882,-3.28376734948064
1,Grenou_1,0,2,24.6,0.85176,0.46777,2.62505,29,0.034624390243903,-3.3631969249141
1,Grenou_1,0,2,28.7,0.76651,0.41041,2.51047,29,0.026707665505227,-3.62280465720653
1,Grenou_1,0,3,21.1,0.69393,0.51968,1.78232,67.5,0.032887677725119,-3.41465722859784
1,Grenou_1,0,3,21.7,0.98771,0.57275,2.31523,67.5,0.045516589861751,-3.08967840713398
1,Grenou_1,0,3,18.3,0.97022,0.58197,2.41106,67.5,0.053017486338798,-2.93713348892454
1,Grenou_1,0,3,23.1,0.86384,0.54376,2.21576,67.5,0.037395670995671,-3.28620033003991
1,Grenou_1,0,3,21.4,0.88205,0.51264,2.25,67.5,0.041217289719626,-3.18889745726753
1,Grenou_1,0,3,27.8,0.91489,0.54773,2.25122,67.5,0.032909712230216,-3.41398746020927
1,Grenou_1,0,3,22.3,0.83136,0.51997,2.26455,67.5,0.037280717488789,-3.28927904340603
1,Grenou_1,0,3,23.2,0.84528,0.49216,2.33188,67.5,0.036434482758621,-3.3122396242384
1,Grenou_1,0,3,18,1.14656,0.60844,2.58994,67.5,0.063697777777778,-2.75360560276171
1,Grenou_1,0,3,17.6,1.06874,0.63151,2.334,67.5,0.060723863636364,-2.80141851754419
1,Grenou_1,0,3,14.9,0.83671,0.57194,2.14403,67.5,0.056155033557047,-2.87963895698835
1,Grenou_1,0,3,13.8,1.07052,0.61604,2.47103,67.5,0.077573913043478,-2.5565240804316
1,Grenou_1,0,3,25.4,0.94452,0.61676,2.12661,67.5,0.037185826771654,-3.29182759106427
1,Grenou_1,0,3,26.4,1.06874,0.62922,2.31697,67.5,0.040482575757576,-3.20688362565236
1,Grenou_1,0,3,23.8,1.04161,0.59369,2.37022,67.5,0.04376512605042,-3.12891798763691
1,Grenou_1,0,3,25.1,0.95772,0.62602,2.24812,67.5,0.038156175298805,-3.26606766544396
